1722130,"Birthright Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1736750,"Kingdom of Atham: Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1738710,"SCP: Observer","unknown (No License)","unknown (No License)",false,false
1738800,"Outworlder Server","unknown (No License)","unknown (No License)",false,false
1740360,"SpiderHeck Dedicated Servers Playtest","unknown (No License)","unknown (No License)",false,false
1748680,"Fight or Flight Dedicated Server","unknown (No License)","unknown (No License)",false,false
1750680,"Beryllium Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1750890,"N1LServerTool","unknown (No License)","unknown (No License)",false,false
1757500,"Isles of Avalon Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1757540,"Axial Drift Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1769020,"Afterinfection Dedicated Server","unknown (No License)","unknown (No License)",false,false
1794810,"Myth of Empires Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1797170,"Thunder Tier One Dedicated Server","unknown (No License)","unknown (No License)",false,false
1801260,"Spawnworks Dedicated Server","unknown (No License)","unknown (No License)",false,false
1801280,"SCP: CB Multiplayer Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1812770,"Dead Event Dedicated Server","unknown (No License)","unknown (No License)",false,false
1815810,"Turbo Sliders Unlimited Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1816360,"Dysterra Playtest Dedicated Server","unknown (No License)","unknown (No License)",false,false
1821720,"FallenSkyServer","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1827320,"Isles of Yore Dedicated Server - Windows","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1827330,"Isles of Yore Dedicated Server - Linux","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1829350,"V Rising Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1830410,"Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1836200,"Fallout 76 Public Test Server","unknown (No License)","unknown (No License)",false,false
1850430,"Outerstellar Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1850780,"Powerjackers Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1853570,"WTWServerFiles","unknown (No License)","unknown (No License)",false,false
1860400,"Escape from Covid Dedicated Server","unknown (No License)","unknown (No License)",false,false
1863440,"Mount & Blade II: Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1865350,"Chunkers Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1869320,"Naval Action Server Access","unknown (No License)","unknown (No License)",false,false
1874900,"Arma Reforger Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1875500,"Treason Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1890870,"Arma Reforger Experimental Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1892930,"s&box server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1899880,"BadlandsDedicatedServer","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1899970,"BadlandsServerBeta","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1900210,"LGS Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
